X,Y,month,day,temp,RH,wind,rain,area
1,2,aug,fri,14.7,66,2.7,0,0
1,2,aug,fri,18.5,73,8.5,0,0
1,2,aug,fri,25.9,41,3.6,0,0
1,2,aug,sat,25.9,32,3.1,0,0
1,2,aug,sun,19.5,39,6.3,0,0
1,2,aug,sun,17.9,44,2.2,0,0
1,2,aug,thu,20.2,45,3.6,0,0
1,2,aug,thu,26.7,35,1.8,0,5.8
1,2,aug,tue,21.6,19,6.7,0,0
1,2,aug,tue,18.6,51,4.5,0,0
1,2,aug,wed,16.6,47,0.9,0,0
1,2,aug,wed,23.3,31,4.5,0,0.55
1,2,jul,fri,14.8,78,8,0,0
1,2,jul,sat,16.6,53,5.4,0,0.71
1,2,sep,sun,25.3,36,3.6,0,0
1,2,sep,thu,21.5,15,0.9,0,0
1,2,sep,thu,25.4,27,2.2,0,0
1,2,sep,thu,22.4,34,2.2,0,0
1,2,sep,tue,18.8,40,2.2,0,212.88
1,3,aug,fri,32.4,27,2.2,0,0
1,3,aug,fri,27.5,29,4.5,0,43.32
1,3,aug,sat,23.3,40,4,0,6.36
1,3,aug,thu,26.2,34,5.8,0,0
1,3,mar,mon,8.3,72,3.1,0,0
1,3,sep,fri,19.1,46,2.2,0,0.33
1,3,sep,mon,12.4,73,6.3,0,30.32
1,3,sep,sat,22.3,48,4,0,0.72
1,3,sep,sun,23.9,32,6.7,0,5.33
1,3,sep,sun,21.9,43,4,0,70.76
1,4,aug,fri,22.2,45,3.6,0,0
1,4,aug,fri,11.8,88,4.9,0,9.71
1,4,aug,sat,14.2,53,1.8,0,3.5
1,4,aug,sat,20.3,39,4.9,0,4.53
1,4,aug,sat,25.6,42,4,0,0
1,4,aug,wed,19.9,50,4,0,82.75
1,4,jul,tue,23.4,31,5.4,0,0
1,4,sep,fri,21.1,39,2.2,0,8.12
1,4,sep,mon,18.1,54,3.1,0,2.13
1,4,sep,mon,21.3,35,2.2,0,28.19
1,4,sep,sat,24.2,27,3.1,0,0
1,4,sep,sun,19,52,2.2,0,0
1,4,sep,sun,14.5,76,7.6,0,3.71
1,4,sep,thu,16.8,28,4,0,7.21
1,4,sep,tue,21.7,38,2.2,0,0.43
1,5,sep,mon,21,42,2.2,0,7.3
1,5,sep,sat,29.6,27,2.7,0,1.46
1,5,sep,sun,27.8,27,3.1,0,95.18
1,5,sep,tue,21.6,33,2.2,0,11.53
2,2,aug,mon,23.1,31,3.1,0,0
2,2,aug,sat,22.9,31,7.2,0,15.45
2,2,aug,sat,21.9,42,2.2,0,174.63
2,2,aug,sun,20.8,33,2.7,0,0
2,2,aug,thu,18.8,35,4.9,0,0
2,2,aug,thu,18.6,44,4.5,0,0
2,2,aug,thu,20.4,56,2.2,0,0
2,2,aug,tue,17.4,43,6.7,0,1.07
2,2,aug,tue,24.6,22,4.5,0,8.71
2,2,aug,tue,24.6,22,4.5,0,10.01
2,2,aug,tue,23.7,24,3.1,0,0
2,2,aug,tue,21.8,56,3.1,0,0.52
2,2,aug,tue,27.9,27,2.2,0,0
2,2,aug,wed,18.4,45,3.6,0,1.63
2,2,feb,fri,12.3,51,0.9,0,0
2,2,feb,mon,13.9,40,5.4,0,0
2,2,feb,sat,4.6,59,0.9,0,6.84
2,2,jul,fri,13.4,79,3.6,0,37.02
2,2,mar,sun,11.5,39,5.8,0,0
2,2,mar,sun,5.5,59,6.3,0,0
2,2,sep,fri,23,37,4.5,0,0
2,2,sep,fri,19.6,33,5.4,0,0
2,2,sep,fri,19.6,33,6.3,0,0
2,2,sep,mon,16.8,43,3.1,0,5.83
2,2,sep,sat,18.2,46,1.8,0,200.94
2,3,sep,mon,18,51,5.4,0,0
2,4,aug,fri,21.4,42,3.1,0,4.25
2,4,aug,fri,25.9,41,3.6,0,0
2,4,aug,mon,28.3,32,4,0,8.85
2,4,aug,mon,27.9,33,2.2,0,2.35
2,4,aug,mon,30.6,28,3.6,0,2.07
2,4,aug,sun,15.4,66,4,0,10.13
2,4,aug,sun,22.4,54,7.6,0,2.87
2,4,aug,sun,20.9,50,2.2,0,16
2,4,aug,sun,24.9,42,5.4,0,2.44
2,4,aug,sun,20.9,66,4.9,0,15.34
2,4,aug,sun,21.9,71,5.8,0,54.29
2,4,aug,thu,16.6,59,2.7,0,0
2,4,aug,tue,20.1,40,4,0,0
2,4,aug,wed,20.5,35,4,0,1.64
2,4,aug,wed,20.7,70,2.2,0,0.75
2,4,aug,wed,30.8,19,4.5,0,0
2,4,aug,wed,29.2,30,4.9,0,1.95
2,4,jan,sat,5.3,78,3.1,0,0
2,4,mar,tue,15.2,19,7.6,0,0
2,4,sep,mon,22.6,38,3.6,0,11.32
2,4,sep,mon,20.4,41,1.8,0,1.47
2,4,sep,sat,24.1,29,4.5,0,0
2,4,sep,sat,28.6,27,2.2,0,1.61
2,4,sep,sun,16,45,1.8,0,0
2,4,sep,sun,24.9,27,2.2,0,0
2,4,sep,sun,12.2,78,6.3,0,0
2,4,sep,wed,21.8,34,2.2,0,6.04
2,5,aug,fri,23.5,36,5.4,0,10.02
2,5,aug,sat,23.6,53,4,0,6.43
2,5,aug,sat,18.9,64,4.9,0,0
2,5,aug,sun,19.2,44,2.7,0,4.69
2,5,aug,sun,24.8,36,4,0,3.05
2,5,aug,sun,33.1,25,4,0,26.43
2,5,aug,thu,24.2,28,2.7,0,8.68
2,5,aug,thu,22.3,46,4,0,0
2,5,aug,tue,20.2,47,4,0,3.09
2,5,aug,wed,23.8,32,5.4,0,0.77
2,5,jul,sat,18.7,53,1.8,0,0
2,5,jul,sat,23.8,51,1.8,0,0
2,5,jul,sun,23.4,40,6.3,0,0
2,5,jun,thu,22.7,40,9.4,0,3.19
2,5,oct,sun,15.4,35,0.9,0,0
2,5,sep,fri,16.2,58,3.6,0,9.96
2,5,sep,mon,21.9,39,1.8,0,0.47
2,5,sep,mon,19.3,44,2.2,0,3.93
2,5,sep,tue,17.6,46,3.1,0,7.04
2,5,sep,wed,18.3,45,2.2,0,4.88
3,3,sep,sat,24.2,27,3.1,0,6.58
3,4,aug,fri,11.2,84,7.6,0,3.3
3,4,aug,mon,10.3,74,2.2,0,0
3,4,aug,mon,17.1,43,5.4,0,0
3,4,aug,sat,20.6,59,0.9,0,0
3,4,aug,sun,11.6,87,4.5,0,0
3,4,aug,sun,19.8,39,5.4,0,0
3,4,aug,sun,19.8,39,5.4,0,0
3,4,aug,sun,26.8,38,6.3,0,0.76
3,4,aug,sun,24.6,44,4,0,3.2
3,4,aug,sun,23.4,40,5.8,0,1.29
3,4,aug,thu,19.6,36,3.1,0,0
3,4,aug,thu,16.8,56,3.1,0,0
3,4,aug,tue,14.4,66,5.4,0,0
3,4,aug,tue,21,32,3.1,0,0
3,4,aug,tue,32.3,27,2.2,0,14.68
3,4,aug,wed,21.7,40,0.4,0,2.47
3,4,dec,mon,4.6,21,8.5,0,10.73
3,4,feb,sat,12.7,48,1.8,0,0
3,4,feb,wed,8.8,35,3.1,0,1.1
3,4,jul,mon,17.9,48,2.7,0,0
3,4,jul,sat,24.6,43,1.8,0,1.43
